Number Of Sentences	First Words	First POS tags	First Phrases
1	There	EX	NP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	Family	NNP	NP
2	Near,There	IN,EX	PP,NP
1	In	IN	PP
1	For	IN	PP
1	Near	IN	PP
1	Near	IN	PP
1	This	DT	NP
1	By	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	In	IN	PP
1	The	DT	NP
2	Near,It	IN,PRP	PP,NP
1	The	DT	NP
1	Near	IN	PP
1	XNAMEX	NNP	NP
1	Located	VBN	VP
1	There	EX	NP
1	Near	IN	PP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	XNAMEX	NNP	NP
1	Located	VBN	VP
1	In	IN	PP
1	Near	IN	PP
1	On	IN	PP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	There	EX	NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,A	NNP,DT	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,Rated	NNP,VBN	NP,VP
1	XNAMEX	NNP	NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
3	There,It,Overall	EX,PRP,RB	NP,NP,ADVP
2	XNAMEX,It	NNP,PRP	NP,NP
2	If,It	IN,PRP	SBAR,NP
2	The,It	DT,PRP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	There	EX	NP
2	The,It	DT,PRP	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
4	XNAMEX,We,Located,Unfortunately	NNP,PRP,VBN,RB	NP,NP,VP,ADVP
2	Given,This	VBN,DT	PP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
4	coffee,Customer,City,Not	NN,NN,NNP,RB	NP,NP,NP,FRAG
3	There,It,It	EX,PRP,PRP	NP,NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	There,It	EX,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	coffee,It	NN,PRP	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	There,It	EX,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,This	NNP,DT	NP,NP
1	For	IN	PP
1	The	DT	NP
1	Chinese	JJ	NP
1	XNAMEX	RB	ADVP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	In	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	In	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
1	XNAMEX	NNP	NP
2	In,It	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
1	in	IN	PP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	In	IN	PP
2	XNAMEX,This	NNP,DT	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
2	Family,Very	NN,JJ	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	A	DT	NP
2	XNAMEX,They	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	The	DT	NP
1	The	DT	NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
1	The	DT	NP
2	The,They	DT,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	Low	NNP	NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
3	XNAMEX,They,They	NNP,PRP,PRP	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	The,It	DT,PRP	NP,NP
3	The,It,It	DT,PRP,PRP	NP,NP,NP
2	Conveniently,They	RB,PRP	ADVP,NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	There,XNAMEX	EX,NNP	NP,NP
1	Try	VB	VP
1	XNAMEX	NNP	NP
2	XNAMEX,Its	NNP,PRP$	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Near	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
1	An	DT	NP
1	Yes	UH	INTJ
1	Yes	UH	INTJ
1	coffee	NN	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	In	IN	PP
1	A	DT	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	there,it	EX,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	There,The	EX,DT	NP,NP
1	XNAMEX	VBG	VP
1	The	DT	NP
1	With	IN	SBAR
1	In	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	XNAMEX	NNP	NP
2	The,It	DT,PRP	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	By,It	IN,PRP	PP,NP
1	There	EX	NP
1	XNAMEX	NNP	NP
1	With	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	5	CD	NP
1	Family	NNP	NP
1	There	EX	NP
1	Family	NNP	NP
2	For,Customers	IN,NNS	PP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	The	DT	NP
1	In	IN	PP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
4	In,It,It,It	IN,PRP,PRP,PRP	PP,NP,NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	English,It	JJ,PRP	NP,NP
4	XNAMEX,It,Customer,It	NNP,PRP,NN,PRP	NP,NP,NP,NP
4	XNAMEX,It,Customer,It	NNP,PRP,NN,PRP	NP,NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	In,This	IN,DT	PP,NP
2	XNAMEX,Customers	NNP,NNS	NP,NP
3	XNAMEX,Rated,kid	NNP,NNP,NN	NP,NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	In,Not	IN,RB	PP,S
3	XNAMEX,Rated,kid	NNP,NNP,NN	NP,NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	RB	ADVP
1	If	IN	SBAR
1	Located	VBN	VP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	Located	VBN	VP
3	The,The,Yes	DT,DT,UH	NP,NP,INTJ
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	The	DT	NP
2	XNAMEX,it	NNP,PRP	NP,NP
3	The,The,Yes	DT,DT,UH	NP,NP,INTJ
1	A	DT	NP
1	XNAMEX	NN	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Although	IN	SBAR
1	There	EX	NP
2	There,It	EX,PRP	NP,NP
2	There,It	EX,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	The,It	DT,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	There,It	EX,PRP	NP,NP
1	The	DT	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	The	DT	NP
3	There,.,It	EX,UH,PRP	NP,INTJ,NP
1	XNAMEX	NNP	NP
2	Located,They	VBN,PRP	VP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	RB	ADVP
2	XNAMEX,It	NNP,PRP	NP,NP
2	In,It	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	RB	ADVP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	For,It,The	IN,PRP,DT	PP,NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	A	DT	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	A	DT	NP
1	XNAMEX	NNP	NP
1	By	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
1	By	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Check	VB	VP
2	In,It	IN,PRP	PP,NP
1	Come	VB	VP
1	Along	IN	PP
1	XNAMEX	NNP	NP
2	There,It	EX,PRP	NP,NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	If,It	IN,PRP	SBAR,NP
1	Near	IN	PP
2	The,It	DT,PRP	NP,NP
1	XNAMEX	NNP	NP
1	Near	IN	PP
1	Riverside	NNP	NP
3	The,It,On	DT,PRP,IN	NP,NP,PP
2	XNAMEX,It	NNP,PRP	NP,NP
2	If,The	IN,DT	SBAR,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	Near,It	IN,PRP	PP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	Rated,It	VBN,PRP	VP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	The,It,It	DT,PRP,PRP	NP,NP,NP
2	Located,Brown	VBN,NNP	VP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	If,It	IN,PRP	SBAR,NP
1	XNAMEX	NNP	NP
2	XNAMEX,Rating	NNP,NNP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,Rating	NNP,PRP,NNP	NP,NP,NP
1	The	DT	NP
4	There,The,It,It	EX,DT,PRP,PRP	NP,NP,NP,NP
2	In,it	IN,PRP	PP,NP
2	XNAMEX,Customers	NNP,NNS	NP,NP
1	Chinese	JJ	NP
1	In	IN	PP
2	XNAMEX,Located	NNP,VBN	NP,VP
2	XNAMEX,It	NNP,PRP	NP,NP
2	Adults-only,It	JJ,PRP	NP,NP
1	With	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,They,They	NNP,PRP,PRP	NP,NP,NP
3	There,They,It	EX,PRP,PRP	NP,NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Located	VBN	VP
1	The	DT	NP
2	The,This	DT,DT	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	There,It	EX,PRP	NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	A,It,.	DT,PRP,UH	NP,NP,INTJ
1	Near	IN	PP
1	XNAMEX	NNP	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
1	The	DT	NP
1	XNAMEX	RB	ADVP
3	XNAMEX,The,It	NNP,DT,PRP	NP,NP,NP
3	For,It,It	IN,PRP,PRP	S,NP,NP
3	The,The,It	DT,DT,PRP	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	There,It	EX,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	In,It	IN,PRP	PP,NP
2	There,They	EX,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	An	DT	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	Chinese,It	JJ,PRP	NP,NP
2	XNAMEX,This	NNP,DT	NP,NP
4	XNAMEX,Located,The,You	NNP,VBN,DT,PRP	NP,VP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	An,It	DT,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	The,It	DT,PRP	NP,NP
1	The	DT	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	The	DT	NP
2	XNAMEX,They	NNP,PRP	NP,NP
2	The,Offering	DT,IN	NP,PP
2	XNAMEX,They	NNP,PRP	NP,NP
2	Located,Known	VBN,VBN	VP,VP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	XNAMEX,Located	NNP,VBN	NP,VP
2	The,It	DT,PRP	NP,NP
1	XNAMEX	NNP	NP
1	There	EX	NP
2	XNAMEX,Serving	NNP,VBG	NP,VP
3	The,It,It	DT,PRP,PRP	NP,NP,NP
2	XNAMEX,With	NNP,IN	NP,PP
1	XNAMEX	NNP	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
1	There	EX	NP
2	XNAMEX,The	NNP,DT	NP,NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,No,It	NNP,DT,PRP	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,No,XNAMEX	NNP,DT,NNP	NP,NP,NP
2	The,It	DT,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,They	NNP,PRP,PRP	NP,NP,NP
1	In	IN	PP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
1	a	DT	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,Customers	NNP,NNS	NP,NP
2	A,It	DT,PRP	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	The,It	DT,PRP	NP,NP
1	There	EX	NP
2	There,It	EX,PRP	NP,NP
1	Near	IN	PP
1	XNAMEX	NNP	NP
1	Near	IN	PP
2	There,And	EX,CC	NP,S
2	XNAMEX,It	NNP,PRP	NP,NP
1	Yes	UH	INTJ
1	XNAMEX	NNP	NP
4	XNAMEX,Rated,It,It	NNP,VBN,PRP,PRP	NP,VP,NP,NP
1	The	DT	NP
2	XNAMEX,Not	NNP,RB	NP,FRAG
2	Near,Not	IN,RB	PP,FRAG
3	XNAMEX,It,Not	NNP,PRP,RB	NP,NP,FRAG
1	In	IN	PP
2	XNAMEX,They	NNP,PRP	NP,NP
1	family-friendly	JJ	ADJP
1	in	IN	PP
2	Serving,It	VBG,PRP	VP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
2	For,It	IN,PRP	PP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Near	IN	PP
2	XNAMEX,Although	NNP,IN	NP,SBAR
2	For,It	IN,PRP	PP,NP
4	XNAMEX,It,Family,This	NNP,PRP,NNP,DT	NP,NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
1	There	EX	NP
1	XNAMEX	NNP	NP
4	XNAMEX,It,It,It	NNP,PRP,PRP,PRP	NP,NP,NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Near	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
2	In,It	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
2	In,It	IN,PRP	PP,NP
2	Near,Serving	IN,VBG	PP,VP
1	Located	VBN	VP
2	XNAMEX,It	NNP,PRP	NP,NP
1	The	DT	NP
1	There	EX	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	Located,It	VBN,PRP	VP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
3	English,It,It	JJ,PRP,PRP	NP,NP,NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
1	The	DT	NP
1	XNAMEX	NNP	NP
2	Near,They	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,it	NNP,PRP	NP,NP
4	XNAMEX,It,It,The	NNP,PRP,PRP,DT	NP,NP,NP,NP
1	The	DT	NP
2	A,It	DT,PRP	NP,NP
1	A	DT	NP
1	With	IN	PP
4	XNAMEX,It,It,The	NNP,PRP,PRP,DT	NP,NP,NP,NP
2	XNAMEX,it	NNP,PRP	NP,NP
2	A,I	DT,PRP	NP,NP
2	There,It	EX,PRP	NP,NP
3	A,It,I	DT,PRP,PRP	NP,NP,NP
2	In,Here	IN,RB	PP,ADVP
2	The,It	DT,PRP	NP,NP
2	There,It	EX,PRP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	The,It	DT,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Known	VBN	VP
1	XNAMEX	NNP	NP
1	on	IN	PP
1	XNAMEX	NNP	NP
5	XNAMEX,It,It,It,It	NNP,PRP,PRP,PRP,PRP	NP,NP,NP,NP,NP
2	For,Customers	IN,NNS	PP,NP
4	XNAMEX,It,It,It	NNP,PRP,PRP,PRP	NP,NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	RB	ADVP
2	The,It	DT,PRP	NP,NP
2	The,It	DT,PRP	NP,NP
1	There	EX	NP
1	Near	IN	PP
1	In	IN	PP
1	XNAMEX	NNP	NP
3	XNAMEX,It,with	NNP,PRP,IN	NP,NP,PP
3	XNAMEX,There,It	NNP,EX,PRP	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	In,There	IN,EX	PP,NP
1	Located	VBN	VP
1	XNAMEX	NNP	NP
2	North,XNAMEX	NNP,NNP	NP,NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,with	NNP,PRP,IN	NP,NP,PP
1	Families	NNS	NP
1	XNAMEX	NNP	NP
2	A,It	DT,PRP	NP,NP
2	Near,It	IN,PRP	PP,NP
3	XNAMEX,Although,It	NNP,IN,PRP	NP,SBAR,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,.	NNP,PRP,UH	NP,NP,INTJ
1	XNAMEX	NN	NP
1	XNAMEX	NNP	NP
2	XNAMEX,They	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	There,It	EX,PRP	NP,NP
1	The	DT	NP
1	There	EX	NP
3	XNAMEX,They,They	NNP,PRP,PRP	NP,NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NN	NP
1	XNAMEX	NNP	NP
1	In	IN	PP
1	Near	NNP	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
1	A	DT	NP
1	There	EX	NP
1	In	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
1	The	DT	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Chinese	JJ	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	In	IN	PP
1	XNAMEX	NNP	NP
2	There,It	EX,PRP	NP,NP
1	XNAMEX	NN	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	coffee	NN	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
1	Near	IN	PP
1	A	DT	NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
1	Located	VBN	VP
2	If,Located	IN,VBN	SBAR,VP
1	XNAMEX	NNP	NP
3	XNAMEX,It,Its	NNP,PRP,PRP$	NP,NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	There,It	EX,PRP	NP,NP
1	XNAMEX	NNP	NP
1	Clare	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,This	NNP,DT	NP,NP
1	In	IN	PP
2	XNAMEX,it	NNP,PRP	NP,NP
2	XNAMEX,Set	NNP,VB	NP,VP
1	XNAMEX	NNP	NP
1	If	IN	SBAR
2	XNAMEX,located	NNP,VBN	NP,VP
2	XNAMEX,It	NNP,PRP	NP,NP
2	Near,It	IN,PRP	PP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Near	IN	PP
1	XNAMEX	NNP	NP
2	Near,It	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	In,It	IN,PRP	PP,NP
1	An	DT	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Near	IN	PP
1	XNAMEX	NN	NP
2	Clare,Good	NNP,JJ	NP,NP
1	Near	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	Near	IN	PP
1	5	CD	NP
1	At	IN	PP
2	There,It	EX,PRP	NP,NP
2	In,It	IN,PRP	PP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	There	EX	NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	In,It,It	IN,PRP,PRP	PP,NP,NP
2	In,It	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,It	NNP,PRP,PRP	NP,NP,NP
1	Located	VBN	VP
1	XNAMEX	NNP	NP
2	Near,It	IN,PRP	PP,NP
1	XNAMEX	NNP	NP
3	XNAMEX,It,The	NNP,PRP,DT	NP,NP,NP
2	English,It	JJ,PRP	NP,NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,They	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
2	If,Conveniently	IN,NNP	SBAR,NP
1	The	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
3	XNAMEX,.,They	NNP,UH,PRP	NP,INTJ,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	Near	NNP	NP
1	Near	IN	PP
